,Delta_ratio,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
140,1.0,FINDER_1D,3.1469168663024902,0.0,"{'sigma': 9.40447812890498, 'threshold': 10.0}",1,1.0
141,1.0,FINDER_1D_loop,2.5689916610717773,0.08,"{'sigma': 12.630578227692578, 'threshold': 10.0}",1,0.92
142,1.0,dbscan,0.012363433837890625,0.0,[],1,1.0
143,1.0,OPTICS,32.027811765670776,0.08,[],1,0.88
144,1.0,CAML_87B144,17.11088466644287,0.04,[],2,0.88
145,1.0,CAML_07VEJJ,11.927629232406616,0.84,[],2,0.6
146,1.0,FINDER_1D,4.096847295761108,0.12,"{'sigma': 8.82975205603933, 'threshold': 10.0}",2,1.0
147,1.0,FINDER_1D_loop,3.5290584564208984,0.04,"{'sigma': 10.696787180224934, 'threshold': 10.0}",2,0.88
148,1.0,dbscan,0.01479339599609375,0.04,[],2,1.0
149,1.0,OPTICS,43.59175682067871,0.4,[],2,0.56
150,1.0,CAML_87B144,17.558454036712646,0.2,[],3,0.92
151,1.0,CAML_07VEJJ,12.545772314071655,1.28,[],3,0.48
152,1.0,FINDER_1D,4.396445989608765,0.2,"{'sigma': 8.496816797517035, 'threshold': 10.0}",3,0.96
153,1.0,FINDER_1D_loop,3.5581753253936768,0.0,"{'sigma': 10.989875325762398, 'threshold': 10.0}",3,0.96
154,1.0,dbscan,0.014691591262817383,0.04,[],3,1.0
155,1.0,OPTICS,46.79383397102356,0.2,[],3,0.76
156,1.0,CAML_87B144,17.583266735076904,0.08,[],4,0.96
157,1.0,CAML_07VEJJ,12.962496280670166,0.72,[],4,0.68
158,1.0,FINDER_1D,3.288809061050415,0.08,"{'sigma': 9.75537793430644, 'threshold': 10.0}",4,1.0
159,1.0,FINDER_1D_loop,3.1984305381774902,0.0,"{'sigma': 10.806527798174885, 'threshold': 10.0}",4,0.92
160,1.0,dbscan,0.01566171646118164,0.08,[],4,1.0
161,1.0,OPTICS,45.27027726173401,0.2,[],4,0.84
162,1.0,CAML_87B144,17.30843687057495,0.08,[],5,0.92
163,1.0,CAML_07VEJJ,12.689008951187134,0.48,[],5,0.72
164,1.0,FINDER_1D,3.228215217590332,0.0,"{'sigma': 9.248973932201666, 'threshold': 10.0}",5,1.0
165,1.0,FINDER_1D_loop,2.868800640106201,0.0,"{'sigma': 11.383284383510981, 'threshold': 10.0}",5,0.92
166,1.0,dbscan,0.013602018356323242,0.08,[],5,1.0
167,1.0,OPTICS,36.4996223449707,0.2,[],5,0.76
168,1.0,CAML_87B144,19.769187450408936,0.16,[],6,0.92
169,1.0,CAML_07VEJJ,12.967703342437744,1.0,[],6,0.48
170,1.0,FINDER_1D,4.973512172698975,0.12,"{'sigma': 9.292280335784849, 'threshold': 10.0}",6,1.0
171,1.0,FINDER_1D_loop,3.81457781791687,0.0,"{'sigma': 12.67759319725819, 'threshold': 10.0}",6,1.0
172,1.0,dbscan,0.01671123504638672,0.12,[],6,1.0
173,1.0,OPTICS,52.73179006576538,0.2,[],6,0.8
174,1.0,CAML_87B144,18.152387380599976,0.08,[],7,0.92
175,1.0,CAML_07VEJJ,13.92037057876587,0.8,[],7,0.72
176,1.0,FINDER_1D,3.687052011489868,0.12,"{'sigma': 8.469225334959708, 'threshold': 10.0}",7,0.96
177,1.0,FINDER_1D_loop,3.3185887336730957,0.0,"{'sigma': 11.218422450663374, 'threshold': 10.0}",7,0.96
178,1.0,dbscan,0.013676881790161133,0.08,[],7,1.0
179,1.0,OPTICS,38.06791090965271,0.36,[],7,0.68
180,1.0,CAML_87B144,19.919056177139282,0.04,[],8,0.92
181,1.0,CAML_07VEJJ,14.114369630813599,0.88,[],8,0.6
182,1.0,FINDER_1D,3.822009325027466,0.36,"{'sigma': 7.0094031093036815, 'threshold': 10.0}",8,0.84
183,1.0,FINDER_1D_loop,3.4690773487091064,0.0,"{'sigma': 11.00718270242672, 'threshold': 10.0}",8,0.88
184,1.0,dbscan,0.015057563781738281,0.0,[],8,1.0
185,1.0,OPTICS,46.472561836242676,0.2,[],8,0.76
186,1.0,CAML_87B144,20.668248653411865,0.04,[],9,0.96
187,1.0,CAML_07VEJJ,14.487041234970093,1.32,[],9,0.36
188,1.0,FINDER_1D,3.8068172931671143,0.12,"{'sigma': 6.705860980854141, 'threshold': 10.0}",9,0.96
189,1.0,FINDER_1D_loop,3.957918643951416,0.0,"{'sigma': 9.139778050977025, 'threshold': 10.0}",9,0.96
190,1.0,dbscan,0.020824432373046875,0.08,[],9,1.0
191,1.0,OPTICS,50.10633444786072,0.36,[],9,0.72
192,1.0,CAML_87B144,21.577276706695557,0.24,[],10,0.88
193,1.0,CAML_07VEJJ,14.809410333633423,1.24,[],10,0.44
194,1.0,FINDER_1D,4.589384317398071,0.44,"{'sigma': 6.674519065085042, 'threshold': 10.0}",10,0.84
195,1.0,FINDER_1D_loop,3.8143389225006104,0.0,"{'sigma': 11.564332093630288, 'threshold': 10.0}",10,1.0
196,1.0,dbscan,0.020479440689086914,0.04,[],10,1.0
197,1.0,OPTICS,43.14807057380676,0.24,[],10,0.72
198,0.75,CAML_87B144,19.29104781150818,0.24,[],0,0.76
