,N_clusters,algo,compute_time,false_positives_ratio,results,seed,true_positives_ratio
269,30,OPTICS,5.127828121185303,0.03333333333333333,[],0,0.5333333333333333
270,30,CAML_87B144,19.26568865776062,0.1,[],1,0.3333333333333333
271,30,CAML_07VEJJ,18.125518798828125,0.13333333333333333,[],1,0.5666666666666667
272,30,FINDER_1D,0.5860135555267334,0.03333333333333333,"{'sigma': 42.80370702246263, 'threshold': 10.0}",1,0.5333333333333333
273,30,FINDER_1D_loop,0.6247138977050781,0.0,"{'sigma': 55.48580472462711, 'threshold': 10.0}",1,0.43333333333333335
274,30,dbscan,0.0033881664276123047,0.0,[],1,0.0
275,30,OPTICS,4.506794452667236,0.0,[],1,0.4
276,30,CAML_87B144,19.99834132194519,0.16666666666666666,[],2,0.4
277,30,CAML_07VEJJ,19.206550121307373,0.06666666666666667,[],2,0.6333333333333333
278,30,FINDER_1D,0.6590898036956787,0.03333333333333333,"{'sigma': 46.18303314289488, 'threshold': 10.0}",2,0.6
279,30,FINDER_1D_loop,0.7394795417785645,0.0,"{'sigma': 59.55117382641012, 'threshold': 10.0}",2,0.4666666666666667
280,30,dbscan,0.0037152767181396484,0.0,[],2,0.0
281,30,OPTICS,4.881211042404175,0.03333333333333333,[],2,0.43333333333333335
282,30,CAML_87B144,20.602432250976562,0.16666666666666666,[],3,0.6666666666666666
283,30,CAML_07VEJJ,19.444018363952637,0.13333333333333333,[],3,0.6
284,30,FINDER_1D,0.7664780616760254,0.06666666666666667,"{'sigma': 42.551463515268004, 'threshold': 10.0}",3,0.6666666666666666
285,30,FINDER_1D_loop,0.7219009399414062,0.0,"{'sigma': 55.82640253659687, 'threshold': 10.0}",3,0.5
286,30,dbscan,0.0037229061126708984,0.0,[],3,0.0
287,30,OPTICS,5.059328317642212,0.06666666666666667,[],3,0.4
288,30,CAML_87B144,20.48439073562622,0.1,[],4,0.43333333333333335
289,30,CAML_07VEJJ,19.258507251739502,0.0,[],4,0.7
